obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('78',)",33.9455986023,1,0,1028.61110424,29,29,1,3.39455986023,29,29,3724598710.14,3724598710.33,3617698407.66,44.36831,-124.95276,0.0,34.0956971141,29,29,internal_timestamp,390.559997559,29,29,656745,1408709607,6.23050022125,29,29,3617698407.66
"('79',)",33.936000824,1,0,1028.59949606,29,29,1,3.3936000824,29,29,3724598710.14,3724598710.33,3617698417.62,44.36831,-124.95276,0.0,34.0939923087,29,29,internal_timestamp,388.089996338,29,29,616044,1408709617,6.22270011902,29,29,3617698417.62
"('80',)",33.9466018677,1,0,1028.58707683,29,29,1,3.39466018677,29,29,3724598710.14,3724598710.33,3617698427.66,44.36831,-124.95276,0.0,34.0943024119,29,29,internal_timestamp,385.709991455,29,29,661092,1408709627,6.23540019989,29,29,3617698427.66
"('81',)",33.9558982849,1,0,1028.56903661,29,29,1,3.39558982849,29,29,3724598710.14,3724598710.33,3617698437.62,44.36831,-124.95276,0.0,34.0883649544,29,29,internal_timestamp,383.320007324,29,29,619921,1408709637,6.2529001236,29,29,3617698437.62
"('82',)",33.9524002075,1,0,1028.55361215,29,29,1,3.39524002075,29,29,3724598710.14,3724598710.33,3617698447.69,44.36831,-124.95276,0.0,34.0836926067,29,29,internal_timestamp,380.820007324,29,29,690138,1408709647,6.25489997864,29,29,3617698447.69
"('83',)",33.9499015808,1,0,1028.539476,29,29,1,3.39499015808,29,29,3724598710.14,3724598710.33,3617698457.64,44.36831,-124.95276,0.0,34.0805302951,29,29,internal_timestamp,378.329986572,29,29,638612,1408709657,6.2564997673,29,29,3617698457.64
"('84',)",33.9673995972,1,0,1028.5200936,29,29,1,3.39673995972,29,29,3724598710.14,3724598710.33,3617698467.63,44.36831,-124.95276,0.0,34.0750072793,29,29,internal_timestamp,375.839996338,29,29,629623,1408709667,6.2828001976,29,29,3617698467.63
"('85',)",33.9906997681,1,0,1028.50706961,29,29,1,3.39906997681,29,29,3724598710.14,3724598710.33,3617698477.64,44.36831,-124.95276,0.0,34.0765745497,29,29,internal_timestamp,373.5,29,29,635030,1408709677,6.30840015411,29,29,3617698477.64
"('86',)",34.0092010498,1,0,1028.49492052,29,29,1,3.40092010498,29,29,3724598710.14,3724598710.33,3617698487.64,44.36831,-124.95276,0.0,34.0784958261,29,29,internal_timestamp,371.119995117,29,29,637943,1408709687,6.32829999924,29,29,3617698487.64
"('87',)",34.0191001892,1,0,1028.47483162,29,29,1,3.40191001892,29,29,3724598710.14,3724598710.33,3617698497.64,44.36831,-124.95276,0.0,34.0694478333,29,29,internal_timestamp,368.929992676,29,29,640813,1408709697,6.34950017929,29,29,3617698497.64
"('88',)",34.0167999268,1,0,1028.46429986,29,29,1,3.40167999268,29,29,3724598710.14,3724598710.33,3617698507.66,44.36831,-124.95276,0.0,34.0686539202,29,29,internal_timestamp,366.75,29,29,660484,1408709707,6.34880018234,29,29,3617698507.66
"('89',)",34.0125007629,1,0,1028.44945344,29,29,1,3.40125007629,29,29,3724598710.14,3724598710.33,3617698517.63,44.36831,-124.95276,0.0,34.0625108264,29,29,internal_timestamp,364.640014648,29,29,625711,1408709717,6.35120010376,29,29,3617698517.63
"('90',)",34.018699646,1,0,1028.43648102,29,29,1,3.4018699646,29,29,3724598710.14,3724598710.33,3617698527.66,44.36831,-124.95276,0.0,34.0602915067,29,29,internal_timestamp,362.5,29,29,662296,1408709727,6.36140012741,29,29,3617698527.66
"('91',)",34.0303001404,1,0,1028.41917825,29,29,1,3.40303001404,29,29,3724598710.14,3724598710.33,3617698537.63,44.36831,-124.95276,0.0,34.0539891434,29,29,internal_timestamp,360.420013428,29,29,627135,1408709737,6.38170003891,29,29,3617698537.63
"('92',)",34.0401000977,1,0,1028.40520446,29,29,1,3.40401000977,29,29,3724598710.14,3724598710.33,3617698547.64,44.36831,-124.95276,0.0,34.052396626,29,29,internal_timestamp,358.059997559,29,29,641742,1408709747,6.3954000473,29,29,3617698547.64
"('93',)",34.0485992432,1,0,1028.39289021,29,29,1,3.40485992432,29,29,3724598710.14,3724598710.33,3617698557.64,44.36831,-124.95276,0.0,34.052230601,29,29,internal_timestamp,355.730010986,29,29,640595,1408709757,6.4061999321,29,29,3617698557.64
"('94',)",34.0806007385,1,0,1028.37629306,29,29,1,3.40806007385,29,29,3724598710.14,3724598710.33,3617698567.66,44.36831,-124.95276,0.0,34.051509817,29,29,internal_timestamp,353.369995117,29,29,657012,1408709767,6.44379997253,29,29,3617698567.66
